Name,Team,POS,ADP,PA,mAVG,mRBI,mR,mSB,mHR,PTS,aPOS,Dollars,Adjusted,Cost,PlayerId
"Travis Jankowski","TEX","OF",733.1699829101562,185.973,-1.4960234336614433,-19.28812607678681,-17.350998427984656,-1.1443676162340015,-11.913775630145198,-51.193291184812104,12.77060137079154,-37.422689814020565,-51.1007626625737,,"13768"
"Wil Myers",,"OF",999,162.372,-2.107302440751259,-17.608106707194704,-18.407682566323867,-3.1916642353088567,-9.915017549532168,-51.229773499110856,12.77060137079154,-37.45917212831932,-51.150232296476496,,"10047"
"Rob Brantly","TBR","C",999,55.625,-0.9839920500000996,-21.122989299478892,-22.57958875302147,-4.0508274344500235,-11.854255970788468,-60.591653507738954,22.117745166372163,-37.47390834136679,-51.17021444614503,,"10655"
"Tucupita Marcano","SDP","SS",999,156.389,-1.1196452454454875,-18.112223315885604,-18.67590721390616,-2.7357513121159998,-10.46656241217748,-51.11008949953073,12.523778086147336,-37.586311413383385,-51.32263182780227,,"22871"
"Tyler Heineman","BOS","C",999,46.58,-0.9222026903081532,-21.4443899173671,-22.65441562750774,-3.9105956792890457,-11.803880583891559,-60.73548449836359,22.117745166372163,-37.61773933199142,-51.365247754388925,,"13897"
"Pedro Pagés","STL","C",999,31.008,-0.4092803191343747,-21.499084096141722,-23.033859743647874,-4.05477267499213,-11.779732600468183,-60.77672943438428,22.117745166372163,-37.65898426801211,-51.42117545317961,,"sa3010339"
"Jeferson Quero","MIL","C",999,24.682,-0.19074414255934885,-21.6385165878928,-23.17399990671584,-3.9809842527039483,-11.80059880889581,-60.784843698767745,22.117745166372163,-37.66709853239557,-51.43217831021203,,"sa3015407"
"Austin Meadows",,"OF",999,122.094,-0.6775871769865733,-17.97324022873364,-19.468977167222416,-3.6120702209379876,-9.848286941820627,-51.58016173570124,12.77060137079154,-37.8095603649097,-51.62535505448008,,"15672"
"Rougned Odor",,"2B",999,159.671,-2.6833696951004566,-16.896671726213402,-18.553654984559955,-3.416451393129384,-9.206369990691117,-50.75651778969431,11.93962418498594,-37.816893604708376,-51.635298850402435,,"12282"
"Cade Marlowe","SEA","OF",748.4299926757812,165.845,-3.1841271364844586,-18.05060667408102,-18.333365183433106,-2.0705115838839934,-9.968147530202309,-51.606758108084875,12.77060137079154,-37.83615673729334,-51.66141945527952,,"25505"
"Tomas Nido","NYM","C",999,40.825,-0.7393538188846057,-21.470479455688622,-22.923166077284222,-4.040339849467218,-11.782937595559757,-60.956276796884424,22.117745166372163,-37.83853163051225,-51.664639785468445,,"13755"
"Kole Calhoun",,"1B",999,191.49,-2.998284677949693,-16.031198432559613,-17.910781036084547,-3.845742556286295,-9.09460096416279,-49.88060766704292,10.957028713941792,-37.923578953101135,-51.77996305905336,,"11200"
"Sandy Leon",,"C",999,41.845,-1.0977882122525675,-21.361593583641866,-22.856518109581852,-4.064136648322353,-11.693768534992419,-61.073805088791055,22.117745166372163,-37.956059922418895,-51.82400691131007,,"5273"
"Logan Porter","KCR","C",999,27.862,-0.4458762361748904,-21.659612200759803,-23.120820415870924,-4.068676282576115,-11.82184772384978,-61.116832859231494,22.117745166372163,-37.999087692859334,-51.882352114794486,,"20626"
"Israel Pineda","WSN","C",999,26.303,-0.45952117056550096,-21.640248438089905,-23.222574944169352,-4.033268887222761,-11.765763460476354,-61.12137690052385,22.117745166372163,-38.00363173415168,-51.88851378692228,,"22906"
